,temp_diff,sal_diff,month,latitude_x,latitude_y,longitude_x,longitude_y
163,0.0,0.0,3,36.99876,36.99876,-76.037094,-76.037094
164,0.0,0.0,3,37.142292,37.142292,-75.73578,-75.73578
165,0.0,0.0,3,37.151127,37.151127,-75.57919,-75.57919
166,0.0,0.0,3,37.27649,37.27649,-75.59013,-75.59013
167,0.0,0.0,3,37.21381,37.21381,-75.584656,-75.584656
168,0.0,0.0,3,37.08406,37.08406,-75.651985,-75.651985
169,0.0,0.0,3,37.795326,37.795326,-75.318634,-75.318634
170,0.0,0.0,3,37.410553,37.410553,-75.443985,-75.443985
171,0.0,0.0,3,37.18043,37.18043,-75.03063,-75.03063
172,0.0,0.0,3,37.544483,37.544483,-75.29731,-75.29731
173,0.0,0.0,3,37.59864,37.59864,-75.460236,-75.460236
174,0.0,0.0,3,38.01214,38.01214,-74.77983,-74.77983
175,0.0,0.0,3,37.933327,37.933327,-75.09184,-75.09184
176,0.0,0.0,3,38.12564,38.12564,-75.02809,-75.02809
177,0.0,0.0,3,37.468914,37.468914,-75.52804,-75.52804
178,0.0,0.0,3,37.364613,37.364613,-75.12433,-75.12433
179,0.0,0.0,3,38.184254,38.184254,-75.11276,-75.11276
180,0.0,0.0009999999999976694,3,37.73684,37.73684,-75.23431,-75.23431
181,0.0,0.0,3,38.066956,38.066956,-74.94356,-74.94356
182,0.0,0.0,3,38.69439,38.69439,-74.99531,-74.99531
183,0.0,0.0,3,38.639763,38.639763,-74.83006,-74.83006
184,0.0,0.0,3,38.82397,38.82397,-74.92566,-74.92566
185,0.0,0.0,3,38.828026,38.828026,-74.84544,-74.84544
186,0.0,0.0,3,38.251118,38.251118,-75.03848,-75.03848
187,0.0,0.0,3,38.518204,38.518204,-74.740005,-74.740005
188,0.0,0.0,3,38.953526,38.953526,-74.855774,-74.855774
189,0.0,0.0,3,38.666435,38.666435,-74.26958,-74.26958
190,0.0,0.0,3,38.58097,38.58097,-74.74502,-74.74502
191,0.0,0.0,3,38.443428,38.443428,-74.97442,-74.97442
192,0.0,0.0,3,38.969273,38.969273,-74.53419,-74.53419
193,0.0,0.0,3,38.815693,38.815693,-75.08604,-75.08604
194,0.0,0.0,3,39.043312,39.043312,-74.29754,-74.29754
195,0.0,0.0,3,39.301826,39.301826,-74.15479,-74.15479
196,0.0,0.0,3,39.087044,39.087044,-74.705124,-74.705124
197,0.0,0.0,3,39.427467,39.427467,-74.16406,-74.16406
198,0.0,0.0,3,39.35734,39.35734,-74.32124,-74.32124
199,0.0,0.0,3,39.028194,39.028194,-74.61959,-74.61959
200,0.0,0.0,3,39.567135,39.567135,-73.848694,-73.848694
201,0.0,0.0,3,39.589523,39.589523,-73.27996,-73.27996
202,0.0,0.0,3,39.09097,39.09097,-74.62458,-74.62458
203,0.0,0.0,3,39.68234,39.68234,-74.10148,-74.10148
204,0.0,0.0,3,39.49387,39.49387,-74.08764,-74.08764
205,0.0,0.0,3,39.2495,39.2495,-73.90776,-73.90776
206,0.0,0.0,3,39.5531,39.5531,-74.17339,-74.17339
207,0.0,0.0,3,39.106117,39.106117,-74.30225,-74.30225
208,0.0,0.0,3,39.649384,39.649384,-73.365204,-73.365204
209,0.0,0.0,3,39.87438,39.87438,-74.03391,-74.03391
210,0.0,-0.0009999999999976694,3,40.50972,40.50972,-73.916084,-73.916084
211,0.0,0.0,3,40.083244,40.083244,-73.55697,-73.55697
212,0.0,0.0,3,40.51662,40.51662,-73.75142,-73.75142
213,0.0,0.0,3,40.33471,40.33471,-73.573875,-73.573875
214,0.0,0.0,3,40.268566,40.268566,-73.651695,-73.651695
215,0.0,0.0,3,39.88811,39.88811,-73.70764,-73.70764
216,0.0,0.0,3,40.519985,40.519985,-73.66907,-73.66907
217,0.0,0.0,3,40.25839,40.25839,-73.897804,-73.897804
218,0.0,0.0,3,40.00704,40.00704,-73.87975,-73.87975
219,0.0,0.0,3,40.457134,40.457134,-73.6647,-73.6647
220,0.0,0.0,3,39.940727,39.940727,-73.95691,-73.95691
221,0.0,0.0,3,40.101566,40.101566,-73.06567,-73.06567
222,0.0,0.0,3,40.5926,40.5926,-73.42607,-73.42607
223,0.0,0.0,3,40.287357,40.287357,-73.15911,-73.15911
224,0.0,0.0,3,40.47304,40.47304,-73.25311,-73.25311
